CustomerID,InvoiceDate,TotalPrice,InvoiceNo
12346.0,18,0.0,2
12347.0,214,4309.999999999997,7
12348.0,268,1797.24,4
12349.0,325,1757.55,1
12350.0,33,334.40000000000003,1
12352.0,271,1545.4100000000005,11
12353.0,139,89.0,1
12354.0,111,1079.4,1
12355.0,129,459.4,1
12356.0,98,2811.4300000000007,3
12357.0,310,6207.669999999996,1
12358.0,193,1168.06,2
12359.0,154,6245.530000000006,6
12360.0,231,2662.0600000000004,3
12361.0,56,189.89999999999998,1
12362.0,271,5154.580000000002,13
12363.0,234,552.0,2
12364.0,265,1313.1000000000001,4
12365.0,52,320.69,3
12367.0,339,168.9,1
12370.0,69,3545.689999999998,4
12371.0,299,1887.9600000000003,2
12372.0,272,1298.0400000000002,3
12373.0,32,364.6,1
12374.0,318,742.93,1
12375.0,245,455.42000000000013,3
12377.0,354,1628.1199999999997,2
12378.0,214,4008.6200000000013,1
12379.0,262,850.2899999999996,3
12380.0,265,2720.56,5
12381.0,243,1803.9600000000005,6
12383.0,159,1839.3099999999997,6
12384.0,264,566.16,3
12386.0,342,401.90000000000003,2
12388.0,268,2780.6600000000003,6
12390.0,264,549.8399999999999,1
12391.0,322,460.88999999999993,1
12393.0,271,1582.6000000000004,4
12394.0,126,1272.48,2
12395.0,231,2998.279999999999,15
12397.0,208,2409.9000000000005,2
12398.0,298,1635.6599999999999,1
12399.0,224,1108.65,4
12401.0,40,84.3,1
12402.0,20,225.6,1
12403.0,294,409.7,2
12405.0,195,1710.3900000000006,1
12406.0,221,3280.7500000000014,3
12407.0,187,1708.1199999999997,5
12408.0,245,2842.57,9
12409.0,265,11056.930000000004,7
12410.0,35,681.0799999999999,3
12412.0,269,1226.8799999999999,3
12413.0,107,694.15,5
12414.0,126,562.41,3
12415.0,244,123725.44999999987,26
12417.0,216,3578.8,12
12418.0,231,668.5799999999997,1
12420.0,280,600.3900000000001,1
12421.0,229,806.2700000000002,5
12422.0,248,803.5599999999998,3
12423.0,245,1849.1100000000001,9
12424.0,181,1760.9599999999998,2
12425.0,265,777.1999999999999,1
12426.0,149,582.7299999999999,1
12427.0,337,708.3700000000001,5
12428.0,235,7877.200000000004,12
12429.0,171,3750.400000000001,4
12430.0,300,256.4,1
12431.0,224,6416.389999999999,18
12432.0,173,5059.3200000000015,5
12433.0,252,13375.869999999992,7
12434.0,259,765.1899999999999,4
12435.0,264,7829.889999999998,2
12436.0,244,509.01000000000005,1
12437.0,265,4896.659999999998,19
12438.0,203,2906.8500000000004,2
12441.0,342,173.55,1
12442.0,340,172.06,1
12444.0,258,5005.46,5
12445.0,321,133.4,1
12446.0,286,1002.3099999999998,1
12447.0,100,476.49,1
12448.0,299,449.4500000000001,1
12449.0,252,4067.2900000000013,4
12450.0,187,197.88,2
12451.0,196,8933.519999999999,6
12452.0,327,428.57000000000005,3
12453.0,209,707.0899999999999,1
12454.0,290,-5.684341886080802e-14,2
12455.0,270,2466.859999999997,6
12456.0,235,3153.889999999998,4
12457.0,262,1917.78,12
12458.0,272,947.4000000000001,2
12461.0,249,826.8800000000001,2
12462.0,40,1124.0099999999998,4
12463.0,168,1303.6299999999997,7
12464.0,237,1212.0499999999997,8
12465.0,174,733.8900000000001,3
12468.0,200,724.04,3
12471.0,251,18740.91999999994,49
12472.0,188,6229.480000000004,13
12473.0,229,2848.2299999999996,9
12474.0,263,7116.47,30
12475.0,290,723.38,1
12476.0,259,6546.580000000007,20
12477.0,252,13117.009999999993,9
12478.0,340,680.9900000000002,1
12479.0,340,477.30000000000007,3
12480.0,200,3281.6300000000015,4
12481.0,164,5590.8600000000015,11
12483.0,245,2327.130000000001,13
12484.0,243,4495.27,8
12488.0,268,1298.6599999999999,3
12489.0,7,334.92999999999995,1
12490.0,250,5417.9299999999985,10
12491.0,305,460.4000000000001,1
12492.0,238,263.21,2
12493.0,178,416.79,3
12494.0,186,1139.3500000000008,13
12497.0,262,1043.1,1
12498.0,322,403.7,3
12500.0,237,4206.2699999999995,13
12501.0,7,2089.68,2
12502.0,248,3723.87,5
12503.0,6,-1126.0,1
12504.0,313,114.00000000000003,4
12505.0,42,-4.5,1
12506.0,111,73.50000000000003,1
12507.0,188,1258.06,4
12508.0,317,398.27000000000004,2
12509.0,59,176.5,1
12510.0,201,982.57,2
12512.0,277,138.03000000000006,2
12513.0,259,586.7900000000001,2
